time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451250000	10.0303	20.9586	4.87472	3.28209	0.487588	radar	0.916391	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82882	20.9232	4.82679	3.30763	0.49153	lidar	1.53918	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.58773	20.9191	4.81702	3.29544	0.406176	radar	0.124123	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38925	20.8702	4.76895	3.32217	0.416157	lidar	1.25864	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16364	20.8285	4.76287	3.34714	0.431686	radar	1.1891	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88188	20.7968	4.82337	3.35696	0.415035	lidar	1.80933	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66356	20.7161	4.80894	3.39697	0.452115	radar	0.296511	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39607	20.6313	4.85396	3.42549	0.457829	lidar	1.61044	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16722	20.5497	4.85637	3.45954	0.483793	radar	2.57191e-005	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92774	20.4698	4.86873	3.48321	0.482676	lidar	0.0960218	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71216	20.3817	4.86616	3.52378	0.529384	radar	2.41788	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41544	20.3232	4.94819	3.52583	0.495283	lidar	3.21434	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18527	20.2258	4.94933	3.54903	0.48916	radar	0.195586	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.92421	20.1441	4.98766	3.56017	0.470734	lidar	0.696659	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
